,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,naron,ES,2021-01-13 15:27:10,43.5167,-8.1528,75,81,48.272000000000034,1.54
1,albany,US,2021-01-13 15:16:16,42.6001,-73.9662,97,63,36.266000000000005,0.62
2,codrington,AU,2021-01-13 15:20:45,-38.2667,141.9667,1,92,51.87200000000004,2.56
3,butaritari,KI,2021-01-13 15:16:18,3.0707,172.7902,72,76,81.842,9.52
4,puerto escondido,MX,2021-01-13 15:27:10,15.85,-97.0667,40,74,82.66999999999996,2.06
5,port alfred,ZA,2021-01-13 15:19:58,-33.5906,26.891,100,96,67.26199999999996,0.45
6,saint george,US,2021-01-13 15:20:39,37.1041,-113.5841,1,26,51.27799999999996,0.28
7,brainerd,US,2021-01-13 15:27:11,46.358,-94.2008,90,65,39.272000000000034,2.57
8,yellowknife,CA,2021-01-13 15:20:06,62.456,-114.3525,90,92,17.27599999999999,4.63
9,rikitea,PF,2021-01-13 15:20:04,-23.1203,-134.9692,33,78,77.86400000000003,7.06
10,busselton,AU,2021-01-13 15:15:58,-33.65,115.3333,100,71,56.26400000000004,0.45
11,zyryanka,RU,2021-01-13 15:20:58,65.75,150.85,100,81,-33.42999999999999,5.01
12,yulara,AU,2021-01-13 15:20:27,-25.2406,130.9889,0,21,84.46999999999997,3.09
13,cape town,ZA,2021-01-13 15:25:11,-33.9258,18.4232,0,64,75.27200000000005,3.09
14,finote selam,ET,2021-01-13 15:27:11,10.7,37.2667,69,37,64.13000000000005,2.68
15,amderma,,,,,,,,
16,luba,GQ,2021-01-13 15:27:11,3.4568,8.5547,20,83,80.86999999999996,4.63
17,vaitupu,,,,,,,,
18,karratha,AU,2021-01-13 15:20:38,-20.7377,116.8463,81,33,92.62400000000002,5.01
19,chokurdakh,RU,2021-01-13 15:20:20,70.6333,147.9167,85,83,-34.34800000000003,2.06
20,zenzeli,RU,2021-01-13 15:27:12,45.9241,47.0474,100,79,37.85,10.53
21,el molino,CO,2021-01-13 15:27:12,10.6523,-72.924,100,44,88.15999999999998,3.02
22,jamestown,US,2021-01-13 15:17:27,42.097,-79.2353,1,86,36.266000000000005,5.42
23,mahebourg,MU,2021-01-13 15:16:10,-20.4081,57.7,75,94,77.26999999999995,1.03
24,pevek,RU,2021-01-13 15:20:30,69.7008,170.3133,98,89,-18.886000000000017,2.16
25,barrow,US,2021-01-13 15:20:01,71.2906,-156.7887,1,84,-5.529999999999994,8.23
26,westport,US,2021-01-13 15:22:55,41.1415,-73.3579,90,60,41.26999999999996,3.69
27,ribeira grande,PT,2021-01-13 15:17:23,38.5167,-28.7,40,88,61.069999999999965,5.14
28,dikson,RU,2021-01-13 15:16:20,73.5069,80.5464,0,86,-26.896,3.54
29,ushuaia,AR,2021-01-13 15:17:20,-54.8,-68.3,75,51,59.26999999999996,2.57
30,nara,JP,2021-01-13 15:27:12,34.6851,135.8049,20,100,37.274000000000015,0.51
31,chuy,UY,2021-01-13 15:16:51,-33.6971,-53.4616,0,46,71.02400000000002,5.09
32,yuryuzan,RU,2021-01-13 15:27:13,54.8633,58.4219,0,87,-4.882000000000019,1.3
33,nguiu,,,,,,,,
34,torbay,CA,2021-01-13 15:20:09,47.6666,-52.7314,90,86,30.272000000000038,2.06
35,hope,US,2021-01-13 15:27:13,33.6671,-93.5916,0,35,55.274000000000015,3.13
36,hasaki,JP,2021-01-13 15:19:58,35.7333,140.8333,20,93,30.46999999999996,0.51
37,pianco,BR,2021-01-13 15:27:13,-7.1981,-37.9292,75,41,90.35600000000002,2.05
38,upernavik,GL,2021-01-13 15:20:36,72.7868,-56.1549,100,96,12.05600000000003,8.14
39,mar del plata,AR,2021-01-13 15:20:11,-38.0023,-57.5575,0,64,68.26999999999995,7.72
40,cabo san lucas,MX,2021-01-13 15:21:03,22.8909,-109.9124,75,40,77.26999999999995,3.6
41,taolanaro,,,,,,,,
42,east london,ZA,2021-01-13 15:16:06,-33.0153,27.9116,100,90,73.27400000000002,5.95
43,babushkin,RU,2021-01-13 15:27:14,51.7122,105.8647,99,92,8.293999999999972,6.92
44,as,,,,,,,,
45,santa cruz cabralia,BR,2021-01-13 15:27:14,-16.2781,-39.0247,40,65,80.86999999999996,5.66
46,jacareacanga,BR,2021-01-13 15:27:14,-6.2222,-57.7528,40,66,89.86999999999996,1.54
47,talnakh,RU,2021-01-13 15:16:20,69.4865,88.3972,6,79,-24.25,4.76
48,toamasina,MG,2021-01-13 15:27:14,-18.1667,49.3833,40,94,77.26999999999995,1.03
49,rosarito,MX,2021-01-13 15:20:32,32.3333,-117.0333,20,15,73.66999999999996,3.6
50,punta arenas,CL,2021-01-13 15:20:09,-53.15,-70.9167,90,54,57.469999999999956,10.8
51,oranjemund,NA,2021-01-13 15:20:27,-28.55,16.4333,9,82,67.44200000000001,1.87
52,bathsheba,BB,2021-01-13 15:20:18,13.2167,-59.5167,40,65,82.66999999999996,7.72
53,husavik,IS,2021-01-13 15:20:43,66.0449,-17.3389,90,53,44.86999999999996,6.69
54,puerto ayora,EC,2021-01-13 15:19:23,-0.7393,-90.3518,40,55,88.06999999999996,7.2
55,new norfolk,AU,2021-01-13 15:16:31,-42.7826,147.0587,7,66,58.26199999999996,1.34
56,oloron-sainte-marie,FR,2021-01-13 15:27:14,43.1944,-0.6107,90,93,46.66999999999996,2.06
57,salinopolis,BR,2021-01-13 15:27:15,-0.6136,-47.3561,100,83,80.95999999999998,5.15
58,auki,SB,2021-01-13 15:16:22,-8.7676,160.7034,85,83,77.91799999999998,2.16
59,vostok,RU,2021-01-13 15:27:15,46.4856,135.8833,95,93,-1.6780000000000186,1.78
60,klaksvik,FO,2021-01-13 15:20:31,62.2266,-6.589,75,81,39.469999999999956,8.75
61,berlevag,NO,2021-01-13 15:27:15,70.8578,29.0864,20,68,19.66999999999996,11.32
62,kuche,,,,,,,,
63,faanui,PF,2021-01-13 15:20:47,-16.4833,-151.75,100,76,81.30199999999998,7.69
64,ancud,CL,2021-01-13 15:16:16,-41.8697,-73.8203,0,55,66.46999999999997,4.12
65,kazalinsk,,,,,,,,
66,tasiilaq,GL,2021-01-13 15:20:14,65.6145,-37.6368,75,86,32.26999999999996,15.95
67,aswan,EG,2021-01-13 15:27:15,24.0934,32.907,0,35,65.55199999999998,1.41
68,puerto del rosario,ES,2021-01-13 15:27:15,28.5004,-13.8627,20,55,64.66999999999996,4.63
69,dongsheng,CN,2021-01-13 15:27:16,39.8161,109.9776,100,65,21.217999999999982,5.29
70,saint-pierre,RE,2021-01-13 15:27:16,-21.3393,55.4781,75,83,80.86999999999996,1.03
71,sheridan,US,2021-01-13 15:27:16,44.8333,-106.9173,75,25,64.66999999999996,4.63
72,vallenar,CL,2021-01-13 15:27:16,-28.5708,-70.7581,0,24,86.88200000000002,4.6
73,yenagoa,NG,2021-01-13 15:27:16,4.9247,6.2642,34,82,78.40399999999995,3.52
74,georgetown,MY,2021-01-13 15:20:10,5.4112,100.3354,20,83,78.27799999999996,3.12
75,port lincoln,AU,2021-01-13 15:20:28,-34.7333,135.8667,10,75,56.94800000000002,4.22
76,hilo,US,2021-01-13 15:20:14,19.7297,-155.09,1,57,80.86999999999996,0.98
77,avarua,CK,2021-01-13 15:20:23,-21.2078,-159.775,40,74,84.46999999999997,8.23
78,abu zabad,SD,2021-01-13 15:27:16,12.35,29.25,0,23,70.7,4.66
79,lavrentiya,RU,2021-01-13 15:20:12,65.5833,-171,99,86,-5.098000000000027,2.6
80,kalaleh,IR,2021-01-13 15:27:16,37.3807,55.4916,0,38,53.906000000000034,5.1
81,ekhabi,RU,2021-01-13 15:27:17,53.5102,142.9671,100,87,-7.383999999999993,5.28
82,krasnotorka,UA,2021-01-13 15:27:17,48.682,37.5327,100,96,30.685999999999968,7
83,provideniya,RU,2021-01-13 15:20:01,64.3833,-173.3,90,78,5.269999999999957,4
84,kapaa,US,2021-01-13 15:20:00,22.0752,-159.319,1,61,79.06999999999996,1.71
85,nagua,DO,2021-01-13 15:27:17,19.3832,-69.8474,75,78,80.86999999999996,5.14
86,derzhavinsk,KZ,2021-01-13 15:27:17,51.1,66.3167,0,88,-14.22400000000001,2.57
87,lahaina,US,2021-01-13 15:22:25,20.8783,-156.6825,20,53,80.86999999999996,4.12
88,san lawrenz,MT,2021-01-13 15:27:17,36.0553,14.204,20,82,57.272000000000034,5.66
89,guadalupe y calvo,MX,2021-01-13 15:27:17,26.1,-106.9667,0,26,62.906000000000034,1.14
90,lebu,CL,2021-01-13 15:16:15,-37.6167,-73.65,0,63,60.38599999999997,6.16
91,sitka,US,2021-01-13 15:20:06,57.0531,-135.33,90,93,35.86999999999996,3.09
